Título,Link
PHP Programando com Orientação a Objetos 3ª Edição,https://books.google.com.br/books?hl=pt-BR&lr=&id=yEP0CgAAQBAJ&oi=fnd&pg=PT4&dq=PHP&ots=n4xheo6vX1&sig=wai2PkI-XXFZOA7dfQMsA-I4mwA
PHP: a bíblia,https://books.google.com.br/books?hl=pt-BR&lr=&id=_xv1frKVlp8C&oi=fnd&pg=PR27&dq=PHP&ots=fAOi1Ni6QI&sig=eu0bFg7LRNCNjvZqTfXyiQa5nvU
PHP para quem conhece PHP,https://books.google.com.br/books?hl=pt-BR&lr=&id=w30rDwAAQBAJ&oi=fnd&pg=PT5&dq=PHP&ots=2ADrbHXDMI&sig=qvhY8SG95S7GvOxAIVdFWnEouNc
"Desenvolvimento de Software II: Introdução ao Desenvolvimento Web com HTML, CSS, JavaScript e PHP-Eixo: Informação e Comunicação-Série Tekne",https://books.google.com.br/books?hl=pt-BR&lr=&id=lcLFAwAAQBAJ&oi=fnd&pg=PR1&dq=PHP&ots=kSNDtw32Bx&sig=AxMJ419wBHVc1AoyH1sitsPCn7A
Overview: PHP and MySQL features for creating modern web projects,https://openarchive.nure.ua/entities/publication/d32fc946-4bb2-4ad9-bce3-aac5f376b4eb
"Pico hydropower (PHP) development in Malaysia: Potential, present status, barriers and future perspectives",https://www.sciencedirect.com/science/article/pii/S1364032117310249
"Performances of a multi-product strategy for bioethanol, lignin, and ultra-high surface area carbon from lignocellulose by PHP (phosphoric acid plus hydrogen …",https://www.sciencedirect.com/science/article/pii/S1364032121007826
Dasar pemrograman web dinamis menggunakan PHP,https://lib.unib.ac.id/index.php?p=show_detail&id=4382
Desenvolvendo websites com PHP,https://s3.novatec.com.br/sumarios/sumario-9788575225349.pdf
Desenvolvimento web com PHP e MySQL,https://books.google.com.br/books?hl=pt-BR&lr=&id=xG2CCwAAQBAJ&oi=fnd&pg=PT3&dq=PHP&ots=__ZfXED9Rz&sig=k-m4LoHjx3ONi5VdxXu4ShiUktQ
